acc_train=0.010267090124652684,acc_loss=2.8140645027160645,val_acc=0.00205011032832348,val_loss=1.953032936900854
acc_train=0.002637057231979396,acc_loss=1.9742532968521118,val_acc=0.002000288930845866,val_loss=1.95248544216156
acc_train=0.0010594156106725392,acc_loss=1.9617561101913452,val_acc=0.001941424730997352,val_loss=1.951160330325365
acc_train=0.0009064248333395741,acc_loss=1.9739439487457275,val_acc=0.0017160524955031633,val_loss=1.9497950449585915
acc_train=0.0012309175149282066,acc_loss=1.9689979553222656,val_acc=0.0015319373005510816,val_loss=1.9467027969658375
acc_train=0.0012880386977914505,acc_loss=1.983141541481018,val_acc=0.0014301901618899082,val_loss=1.9480700083076954
acc_train=0.0009765441026924551,acc_loss=1.9823405742645264,val_acc=0.0011857755813092998,val_loss=1.9450753442943096
acc_train=0.0007319721689702787,acc_loss=1.9813082218170166,val_acc=0.0006916672541150561,val_loss=1.9150618687272072
acc_train=0.0008247892194607029,acc_loss=1.928691029548645,val_acc=9.194484165791744e-08,val_loss=1.8957650624215603
acc_train=0.0,acc_loss=1.8734229803085327,val_acc=0.0036577571052486242,val_loss=1.945251688361168
acc_train=0.0019511612550247635,acc_loss=1.9510512351989746,val_acc=0.0038475267455374803,val_loss=1.9417967908084393
acc_train=0.0019057531559393945,acc_loss=1.937085509300232,val_acc=0.0039841135812857175,val_loss=1.9406951703131199
acc_train=0.0014748429262548802,acc_loss=1.9144090414047241,val_acc=0.003680154748073721,val_loss=1.9399298578500748
acc_train=0.0028113005689502537,acc_loss=1.9540969133377075,val_acc=0.004008907490400936,val_loss=1.9394754134118557
acc_train=0.0045434561777049545,acc_loss=1.9713020324707031,val_acc=0.004140434306310263,val_loss=1.9003225564956665
acc_train=0.004828557768628416,acc_loss=1.9150563478469849,val_acc=0.001500870492179647,val_loss=1.7747781425714493
acc_train=0.0010943331901873696,acc_loss=1.9163286685943604,val_acc=0.0014486391247607838,val_loss=1.8756818510591984
acc_train=0.0015048883338176515,acc_loss=1.8927112817764282,val_acc=0.0004798890753354416,val_loss=1.6755805909633636
acc_train=0.00044784992667131623,acc_loss=1.730432152748108,val_acc=0.01379392175245979,val_loss=2.5014281012117863
acc_train=0.01469917411552952,acc_loss=2.4601149559020996,val_acc=0.0007123274743865509,val_loss=1.9437824003398418
acc_train=0.0005278213822754212,acc_loss=1.956359624862671,val_acc=0.000763213872458662,val_loss=1.941441860049963
acc_train=0.001441436628046013,acc_loss=1.972393274307251,val_acc=0.0007582093501672927,val_loss=1.9416406899690628
acc_train=0.0011429789130076812,acc_loss=1.9409105777740479,val_acc=0.0008300394896399571,val_loss=1.939894437789917
acc_train=0.0006233218668318982,acc_loss=1.9434165954589844,val_acc=0.0008263930464643379,val_loss=1.9372826106846333
acc_train=0.000598301484196507,acc_loss=1.9179580211639404,val_acc=0.000884279455304324,val_loss=1.9351892285048962
acc_train=0.0012001637829854677,acc_loss=1.9380632638931274,val_acc=0.0009714295327983105,val_loss=1.9345126040279865
acc_train=0.0005199774544126637,acc_loss=1.9635101556777954,val_acc=0.0008828734827530434,val_loss=1.9347048327326775
acc_train=0.0006872775878234016,acc_loss=1.937342882156372,val_acc=0.0009196539399309832,val_loss=1.9328866191208363
acc_train=0.0007199387031630876,acc_loss=1.9632682800292969,val_acc=0.0009166398148926006,val_loss=1.9312196187675
acc_train=0.0005157741835100856,acc_loss=1.9514341354370117,val_acc=0.0008815980051659411,val_loss=1.9285253696143627
acc_train=0.0004943942629448898,acc_loss=1.9252761602401733,val_acc=0.0008513428149476773,val_loss=1.9287818893790245
acc_train=0.0005904556400879191,acc_loss=1.9305140972137451,val_acc=0.0008517208533374142,val_loss=1.9273655004799366
acc_train=0.000683452516875989,acc_loss=1.9541321992874146,val_acc=0.0008149702044731594,val_loss=1.9280668310821056
acc_train=0.0004650525179643888,acc_loss=1.9338208436965942,val_acc=0.0008480765803571921,val_loss=1.9254070073366165
acc_train=0.0015735541674132066,acc_loss=1.9121930599212646,val_acc=0.0009059357588651351,val_loss=1.9253765866160393
